Rate_ID,Carrier,POL_Origin,POD_Destination,Container_Type,Ocean_Freight_USD,THC_USD,Seal_Fee_USD,Doc_Fee_USD,Total_Cost_USD,Valid_From,Valid_To,Transit_Time_Days
RTE-00599,COSCO,VNDNG (Da Nang),DEHAM (Hamburg),20DC,2035,140,10,40,2225,2026-07-09,2026-07-24,16
RTE-00600,Hapag-Lloyd,VNHPH (Hai Phong),DEHAM (Hamburg),40HC,3003,210,10,40,3263,2026-07-23,2026-08-07,31
RTE-00601,COSCO,VNDNG (Da Nang),DEHAM (Hamburg),20DC,1505,140,10,40,1695,2026-07-09,2026-07-24,19
RTE-00602,ONE,VNHPH (Hai Phong),USLAX (Los Angeles),40HC,3454,210,10,40,3714,2026-07-09,2026-07-24,23
RTE-00603,Maersk,VNHPH (Hai Phong),USLAX (Los Angeles),40HC,2664,210,10,40,2924,2026-07-18,2026-08-02,19
RTE-00604,CMA CGM,VNHPH (Hai Phong),USLGB (Long Beach),40HC,3778,210,10,40,4038,2026-07-03,2026-07-18,13
RTE-00605,Evergreen,VNHPH (Hai Phong),USLAX (Los Angeles),40HC,3116,210,10,40,3376,2026-07-17,2026-08-01,14
RTE-00606,MSC,VNSGN (Cat Lai),DEHAM (Hamburg),20DC,2136,140,10,40,2326,2026-07-15,2026-07-30,18
RTE-00607,CMA CGM,VNHPH (Hai Phong),USLGB (Long Beach),20DC,2060,140,10,40,2250,2026-07-23,2026-08-07,28
RTE-00608,ONE,VNHPH (Hai Phong),DEHAM (Hamburg),20DC,2062,140,10,40,2252,2026-07-14,2026-07-29,18
RTE-00609,Evergreen,VNSGN (Cat Lai),CNSHA (Shanghai),40HC,410,210,10,40,670,2026-07-31,2026-08-15,21
RTE-00610,Hapag-Lloyd,VNHPH (Hai Phong),CNSHA (Shanghai),20DC,228,140,10,40,418,2026-07-02,2026-07-17,19
RTE-00611,COSCO,VNSGN (Cat Lai),USLAX (Los Angeles),20DC,2445,140,10,40,2635,2026-07-27,2026-08-11,28
RTE-00612,Hapag-Lloyd,VNSGN (Cat Lai),NLRTM (Rotterdam),40HC,3168,210,10,40,3428,2026-07-31,2026-08-15,24
RTE-00613,Hapag-Lloyd,VNDNG (Da Nang),DEHAM (Hamburg),20DC,1744,140,10,40,1934,2026-07-12,2026-07-27,26
RTE-00614,ONE,VNDNG (Da Nang),CNSHA (Shanghai),20DC,382,140,10,40,572,2026-07-02,2026-07-17,35
RTE-00615,Hapag-Lloyd,VNDNG (Da Nang),DEHAM (Hamburg),40HC,2336,210,10,40,2596,2026-07-06,2026-07-21,23
RTE-00616,Maersk,VNDNG (Da Nang),CNSHA (Shanghai),40HC,512,210,10,40,772,2026-07-29,2026-08-13,34
RTE-00617,Hapag-Lloyd,VNSGN (Cat Lai),USLAX (Los Angeles),20DC,1978,140,10,40,2168,2026-07-13,2026-07-28,17
RTE-00618,CMA CGM,VNDNG (Da Nang),USLAX (Los Angeles),40HC,2622,210,10,40,2882,2026-07-13,2026-07-28,16
RTE-00619,ONE,VNDNG (Da Nang),DEHAM (Hamburg),40HC,2980,210,10,40,3240,2026-07-30,2026-08-14,20
RTE-00620,Maersk,VNHPH (Hai Phong),USLAX (Los Angeles),20DC,2068,140,10,40,2258,2026-07-04,2026-07-19,14
RTE-00621,MSC,VNHPH (Hai Phong),NLRTM (Rotterdam),40HC,2149,210,10,40,2409,2026-07-04,2026-07-19,35
RTE-00622,MSC,VNSGN (Cat Lai),DEHAM (Hamburg),20DC,2093,140,10,40,2283,2026-07-12,2026-07-27,17
RTE-00623,CMA CGM,VNHPH (Hai Phong),USLAX (Los Angeles),20DC,2426,140,10,40,2616,2026-07-13,2026-07-28,22
RTE-00624,Hapag-Lloyd,VNDNG (Da Nang),DEHAM (Hamburg),40HC,2182,210,10,40,2442,2026-07-07,2026-07-22,24
RTE-00625,COSCO,VNHPH (Hai Phong),DEHAM (Hamburg),20DC,1876,140,10,40,2066,2026-07-08,2026-07-23,12
RTE-00626,ONE,VNDNG (Da Nang),USLAX (Los Angeles),20DC,2621,140,10,40,2811,2026-07-24,2026-08-08,18
RTE-00627,COSCO,VNHPH (Hai Phong),NLRTM (Rotterdam),40HC,2049,210,10,40,2309,2026-07-22,2026-08-06,31
RTE-00628,COSCO,VNDNG (Da Nang),CNSHA (Shanghai),20DC,242,140,10,40,432,2026-07-04,2026-07-19,16
RTE-00629,Maersk,VNSGN (Cat Lai),NLRTM (Rotterdam),20DC,1662,140,10,40,1852,2026-07-07,2026-07-22,29
RTE-00630,Evergreen,VNHPH (Hai Phong),NLRTM (Rotterdam),40HC,3124,210,10,40,3384,2026-07-07,2026-07-22,31
RTE-00631,Maersk,VNHPH (Hai Phong),USLGB (Long Beach),40HC,3256,210,10,40,3516,2026-07-11,2026-07-26,30
RTE-00632,Maersk,VNDNG (Da Nang),USLAX (Los Angeles),20DC,2528,140,10,40,2718,2026-07-08,2026-07-23,35
RTE-00633,MSC,VNDNG (Da Nang),DEHAM (Hamburg),40HC,2080,210,10,40,2340,2026-07-02,2026-07-17,23
RTE-00634,ONE,VNHPH (Hai Phong),CNSHA (Shanghai),40HC,573,210,10,40,833,2026-07-20,2026-08-04,35
RTE-00635,COSCO,VNDNG (Da Nang),DEHAM (Hamburg),40HC,2106,210,10,40,2366,2026-07-06,2026-07-21,28
RTE-00636,ONE,VNSGN (Cat Lai),DEHAM (Hamburg),20DC,1633,140,10,40,1823,2026-07-25,2026-08-09,31
RTE-00637,MSC,VNDNG (Da Nang),USLAX (Los Angeles),20DC,2634,140,10,40,2824,2026-07-30,2026-08-14,32
RTE-00638,ONE,VNDNG (Da Nang),DEHAM (Hamburg),20DC,1669,140,10,40,1859,2026-07-22,2026-08-06,23
RTE-00639,ONE,VNSGN (Cat Lai),NLRTM (Rotterdam),40HC,2894,210,10,40,3154,2026-07-15,2026-07-30,12
RTE-00640,Maersk,VNHPH (Hai Phong),DEHAM (Hamburg),40HC,2607,210,10,40,2867,2026-07-14,2026-07-29,15
RTE-00641,Evergreen,VNSGN (Cat Lai),DEHAM (Hamburg),20DC,2172,140,10,40,2362,2026-07-26,2026-08-10,15
RTE-00642,COSCO,VNSGN (Cat Lai),CNSHA (Shanghai),40HC,670,210,10,40,930,2026-07-19,2026-08-03,15
RTE-00643,Maersk,VNSGN (Cat Lai),CNSHA (Shanghai),40HC,751,210,10,40,1011,2026-07-04,2026-07-19,35
RTE-00644,Maersk,VNHPH (Hai Phong),USLGB (Long Beach),40HC,3616,210,10,40,3876,2026-07-18,2026-08-02,35
RTE-00645,Maersk,VNSGN (Cat Lai),USLAX (Los Angeles),20DC,2547,140,10,40,2737,2026-07-08,2026-07-23,33
RTE-00646,Evergreen,VNHPH (Hai Phong),USLAX (Los Angeles),40HC,2823,210,10,40,3083,2026-07-15,2026-07-30,30
RTE-00647,MSC,VNSGN (Cat Lai),USLAX (Los Angeles),20DC,1967,140,10,40,2157,2026-07-27,2026-08-11,35
RTE-00648,CMA CGM,VNDNG (Da Nang),CNSHA (Shanghai),40HC,464,210,10,40,724,2026-07-11,2026-07-26,15
RTE-00649,MSC,VNSGN (Cat Lai),DEHAM (Hamburg),20DC,1468,140,10,40,1658,2026-07-14,2026-07-29,15
RTE-00650,CMA CGM,VNSGN (Cat Lai),CNSHA (Shanghai),20DC,465,140,10,40,655,2026-07-12,2026-07-27,17
RTE-00651,Hapag-Lloyd,VNDNG (Da Nang),DEHAM (Hamburg),40HC,2057,210,10,40,2317,2026-07-06,2026-07-21,19
RTE-00652,ONE,VNSGN (Cat Lai),CNSHA (Shanghai),40HC,797,210,10,40,1057,2026-07-07,2026-07-22,34
RTE-00653,Evergreen,VNHPH (Hai Phong),DEHAM (Hamburg),40HC,2311,210,10,40,2571,2026-07-31,2026-08-15,26
RTE-00654,Evergreen,VNDNG (Da Nang),DEHAM (Hamburg),20DC,1553,140,10,40,1743,2026-07-31,2026-08-15,30
RTE-00655,Maersk,VNDNG (Da Nang),NLRTM (Rotterdam),40HC,3190,210,10,40,3450,2026-07-04,2026-07-19,23
RTE-00656,ONE,VNDNG (Da Nang),DEHAM (Hamburg),40HC,2199,210,10,40,2459,2026-07-19,2026-08-03,19
RTE-00657,MSC,VNSGN (Cat Lai),DEHAM (Hamburg),20DC,1461,140,10,40,1651,2026-07-01,2026-07-16,32
RTE-00658,ONE,VNHPH (Hai Phong),USLAX (Los Angeles),40HC,2860,210,10,40,3120,2026-07-04,2026-07-19,17
RTE-00659,Evergreen,VNHPH (Hai Phong),USLAX (Los Angeles),40HC,3373,210,10,40,3633,2026-07-25,2026-08-09,23
RTE-00660,MSC,VNDNG (Da Nang),NLRTM (Rotterdam),20DC,1993,140,10,40,2183,2026-07-17,2026-08-01,20
RTE-00661,Maersk,VNSGN (Cat Lai),DEHAM (Hamburg),20DC,1578,140,10,40,1768,2026-07-02,2026-07-17,34
RTE-00662,ONE,VNSGN (Cat Lai),CNSHA (Shanghai),20DC,321,140,10,40,511,2026-07-04,2026-07-19,31
RTE-00663,MSC,VNHPH (Hai Phong),USLGB (Long Beach),20DC,2285,140,10,40,2475,2026-07-13,2026-07-28,26
RTE-00664,CMA CGM,VNSGN (Cat Lai),DEHAM (Hamburg),40HC,2192,210,10,40,2452,2026-07-23,2026-08-07,34
RTE-00665,CMA CGM,VNDNG (Da Nang),NLRTM (Rotterdam),20DC,1407,140,10,40,1597,2026-07-25,2026-08-09,23
RTE-00666,MSC,VNDNG (Da Nang),CNSHA (Shanghai),20DC,349,140,10,40,539,2026-07-20,2026-08-04,21
RTE-00667,COSCO,VNHPH (Hai Phong),USLAX (Los Angeles),40HC,2880,210,10,40,3140,2026-07-27,2026-08-11,32
RTE-00668,MSC,VNDNG (Da Nang),USLAX (Los Angeles),40HC,3281,210,10,40,3541,2026-07-27,2026-08-11,19
RTE-00669,Hapag-Lloyd,VNDNG (Da Nang),DEHAM (Hamburg),20DC,1921,140,10,40,2111,2026-07-28,2026-08-12,28
RTE-00670,CMA CGM,VNHPH (Hai Phong),NLRTM (Rotterdam),40HC,2566,210,10,40,2826,2026-07-30,2026-08-14,18
RTE-00671,CMA CGM,VNHPH (Hai Phong),USLGB (Long Beach),20DC,2541,140,10,40,2731,2026-07-21,2026-08-05,12
RTE-00672,MSC,VNDNG (Da Nang),CNSHA (Shanghai),20DC,425,140,10,40,615,2026-07-05,2026-07-20,20
RTE-00673,COSCO,VNSGN (Cat Lai),USLGB (Long Beach),40HC,3875,210,10,40,4135,2026-07-20,2026-08-04,14
RTE-00674,Evergreen,VNHPH (Hai Phong),USLGB (Long Beach),40HC,2804,210,10,40,3064,2026-07-06,2026-07-21,18
RTE-00675,Evergreen,VNHPH (Hai Phong),USLAX (Los Angeles),40HC,2718,210,10,40,2978,2026-07-22,2026-08-06,29
RTE-00676,ONE,VNDNG (Da Nang),CNSHA (Shanghai),40HC,767,210,10,40,1027,2026-07-12,2026-07-27,28
RTE-00677,CMA CGM,VNDNG (Da Nang),USLAX (Los Angeles),20DC,2791,140,10,40,2981,2026-07-22,2026-08-06,29
RTE-00678,Hapag-Lloyd,VNSGN (Cat Lai),USLGB (Long Beach),40HC,2557,210,10,40,2817,2026-07-10,2026-07-25,19
RTE-00679,Maersk,VNDNG (Da Nang),DEHAM (Hamburg),40HC,3150,210,10,40,3410,2026-07-23,2026-08-07,12
RTE-00680,Maersk,VNDNG (Da Nang),NLRTM (Rotterdam),20DC,1427,140,10,40,1617,2026-07-31,2026-08-15,28
RTE-00681,Maersk,VNSGN (Cat Lai),USLGB (Long Beach),20DC,1846,140,10,40,2036,2026-07-02,2026-07-17,12
RTE-00682,Hapag-Lloyd,VNDNG (Da Nang),USLGB (Long Beach),40HC,3319,210,10,40,3579,2026-07-05,2026-07-20,24
RTE-00683,ONE,VNHPH (Hai Phong),USLGB (Long Beach),20DC,2422,140,10,40,2612,2026-07-18,2026-08-02,16
RTE-00684,ONE,VNHPH (Hai Phong),NLRTM (Rotterdam),40HC,3041,210,10,40,3301,2026-07-07,2026-07-22,30
RTE-00685,MSC,VNSGN (Cat Lai),USLGB (Long Beach),20DC,2012,140,10,40,2202,2026-07-06,2026-07-21,23
RTE-00686,Hapag-Lloyd,VNSGN (Cat Lai),CNSHA (Shanghai),40HC,459,210,10,40,719,2026-07-01,2026-07-16,23
RTE-00687,ONE,VNSGN (Cat Lai),NLRTM (Rotterdam),40HC,3200,210,10,40,3460,2026-07-26,2026-08-10,13
RTE-00688,Hapag-Lloyd,VNHPH (Hai Phong),DEHAM (Hamburg),40HC,2189,210,10,40,2449,2026-07-22,2026-08-06,31
RTE-00689,Evergreen,VNSGN (Cat Lai),USLAX (Los Angeles),40HC,3731,210,10,40,3991,2026-07-01,2026-07-16,22
RTE-00690,Evergreen,VNHPH (Hai Phong),USLAX (Los Angeles),20DC,2645,140,10,40,2835,2026-07-24,2026-08-08,30
RTE-00691,COSCO,VNSGN (Cat Lai),DEHAM (Hamburg),40HC,3016,210,10,40,3276,2026-07-28,2026-08-12,31
RTE-00692,MSC,VNSGN (Cat Lai),USLAX (Los Angeles),40HC,3099,210,10,40,3359,2026-07-29,2026-08-13,17
RTE-00693,ONE,VNSGN (Cat Lai),USLAX (Los Angeles),20DC,2188,140,10,40,2378,2026-07-19,2026-08-03,24
RTE-00694,Evergreen,VNDNG (Da Nang),DEHAM (Hamburg),20DC,1832,140,10,40,2022,2026-07-19,2026-08-03,14
RTE-00695,Hapag-Lloyd,VNDNG (Da Nang),DEHAM (Hamburg),40HC,2836,210,10,40,3096,2026-07-23,2026-08-07,16
RTE-00696,CMA CGM,VNSGN (Cat Lai),NLRTM (Rotterdam),20DC,1578,140,10,40,1768,2026-07-22,2026-08-06,35
RTE-00697,Maersk,VNDNG (Da Nang),DEHAM (Hamburg),40HC,2238,210,10,40,2498,2026-07-23,2026-08-07,28
RTE-00698,Evergreen,VNSGN (Cat Lai),NLRTM (Rotterdam),40HC,2149,210,10,40,2409,2026-07-25,2026-08-09,22
RTE-00699,ONE,VNHPH (Hai Phong),USLGB (Long Beach),20DC,2308,140,10,40,2498,2026-07-08,2026-07-23,22
RTE-00700,Hapag-Lloyd,VNSGN (Cat Lai),USLGB (Long Beach),40HC,3051,210,10,40,3311,2026-07-21,2026-08-05,16
RTE-00701,Hapag-Lloyd,VNHPH (Hai Phong),USLAX (Los Angeles),40HC,3810,210,10,40,4070,2026-07-14,2026-07-29,16
RTE-00702,ONE,VNDNG (Da Nang),DEHAM (Hamburg),20DC,1439,140,10,40,1629,2026-07-17,2026-08-01,30
RTE-00703,Maersk,VNSGN (Cat Lai),CNSHA (Shanghai),40HC,451,210,10,40,711,2026-07-20,2026-08-04,13
RTE-00704,Maersk,VNHPH (Hai Phong),DEHAM (Hamburg),20DC,1932,140,10,40,2122,2026-07-05,2026-07-20,29
RTE-00705,CMA CGM,VNDNG (Da Nang),DEHAM (Hamburg),20DC,1596,140,10,40,1786,2026-07-20,2026-08-04,25
RTE-00706,ONE,VNSGN (Cat Lai),USLAX (Los Angeles),40HC,3184,210,10,40,3444,2026-07-16,2026-07-31,33
RTE-00707,ONE,VNHPH (Hai Phong),DEHAM (Hamburg),40HC,2547,210,10,40,2807,2026-07-15,2026-07-30,15
RTE-00708,ONE,VNSGN (Cat Lai),DEHAM (Hamburg),20DC,1810,140,10,40,2000,2026-07-16,2026-07-31,33
RTE-00709,Hapag-Lloyd,VNSGN (Cat Lai),USLAX (Los Angeles),20DC,2541,140,10,40,2731,2026-07-06,2026-07-21,22
RTE-00710,Hapag-Lloyd,VNDNG (Da Nang),CNSHA (Shanghai),20DC,430,140,10,40,620,2026-07-11,2026-07-26,30
RTE-00711,CMA CGM,VNHPH (Hai Phong),USLGB (Long Beach),20DC,2747,140,10,40,2937,2026-07-07,2026-07-22,17
RTE-00712,Maersk,VNSGN (Cat Lai),USLGB (Long Beach),20DC,2593,140,10,40,2783,2026-07-20,2026-08-04,21
RTE-00713,Maersk,VNHPH (Hai Phong),USLGB (Long Beach),20DC,2687,140,10,40,2877,2026-07-22,2026-08-06,25
RTE-00714,COSCO,VNSGN (Cat Lai),DEHAM (Hamburg),20DC,1577,140,10,40,1767,2026-07-17,2026-08-01,35
RTE-00715,ONE,VNDNG (Da Nang),CNSHA (Shanghai),20DC,261,140,10,40,451,2026-07-27,2026-08-11,25
RTE-00716,Hapag-Lloyd,VNSGN (Cat Lai),CNSHA (Shanghai),40HC,755,210,10,40,1015,2026-07-03,2026-07-18,23
RTE-00717,Hapag-Lloyd,VNHPH (Hai Phong),CNSHA (Shanghai),40HC,554,210,10,40,814,2026-07-07,2026-07-22,16
RTE-00718,COSCO,VNDNG (Da Nang),USLAX (Los Angeles),40HC,3178,210,10,40,3438,2026-07-30,2026-08-14,15
RTE-00719,CMA CGM,VNHPH (Hai Phong),CNSHA (Shanghai),20DC,259,140,10,40,449,2026-07-24,2026-08-08,19
RTE-00720,COSCO,VNHPH (Hai Phong),USLGB (Long Beach),20DC,2128,140,10,40,2318,2026-07-02,2026-07-17,29
RTE-00721,Hapag-Lloyd,VNDNG (Da Nang),NLRTM (Rotterdam),20DC,1885,140,10,40,2075,2026-07-07,2026-07-22,23
RTE-00722,CMA CGM,VNSGN (Cat Lai),CNSHA (Shanghai),40HC,429,210,10,40,689,2026-07-15,2026-07-30,16
RTE-00723,CMA CGM,VNDNG (Da Nang),USLGB (Long Beach),40HC,2685,210,10,40,2945,2026-07-10,2026-07-25,15
RTE-00724,MSC,VNDNG (Da Nang),USLAX (Los Angeles),40HC,3004,210,10,40,3264,2026-07-14,2026-07-29,31
RTE-00725,Maersk,VNDNG (Da Nang),DEHAM (Hamburg),40HC,2889,210,10,40,3149,2026-07-20,2026-08-04,16
RTE-00726,ONE,VNSGN (Cat Lai),DEHAM (Hamburg),40HC,3089,210,10,40,3349,2026-07-02,2026-07-17,24
RTE-00727,Evergreen,VNHPH (Hai Phong),DEHAM (Hamburg),40HC,2119,210,10,40,2379,2026-07-29,2026-08-13,17
RTE-00728,MSC,VNHPH (Hai Phong),CNSHA (Shanghai),40HC,775,210,10,40,1035,2026-07-21,2026-08-05,26
RTE-00729,Maersk,VNHPH (Hai Phong),USLAX (Los Angeles),40HC,3221,210,10,40,3481,2026-07-04,2026-07-19,22
RTE-00730,Hapag-Lloyd,VNHPH (Hai Phong),DEHAM (Hamburg),40HC,2350,210,10,40,2610,2026-07-15,2026-07-30,23
RTE-00731,ONE,VNSGN (Cat Lai),NLRTM (Rotterdam),40HC,2552,210,10,40,2812,2026-07-23,2026-08-07,26
RTE-00732,Hapag-Lloyd,VNDNG (Da Nang),USLGB (Long Beach),20DC,2729,140,10,40,2919,2026-07-29,2026-08-13,34
RTE-00733,ONE,VNSGN (Cat Lai),USLGB (Long Beach),20DC,2216,140,10,40,2406,2026-07-11,2026-07-26,32
RTE-00734,ONE,VNSGN (Cat Lai),USLAX (Los Angeles),40HC,3034,210,10,40,3294,2026-07-16,2026-07-31,32
RTE-00735,MSC,VNSGN (Cat Lai),CNSHA (Shanghai),40HC,768,210,10,40,1028,2026-07-09,2026-07-24,32
RTE-00736,CMA CGM,VNDNG (Da Nang),USLGB (Long Beach),20DC,1904,140,10,40,2094,2026-07-18,2026-08-02,17
RTE-00737,CMA CGM,VNHPH (Hai Phong),USLAX (Los Angeles),40HC,3775,210,10,40,4035,2026-07-29,2026-08-13,27
RTE-00738,Hapag-Lloyd,VNDNG (Da Nang),CNSHA (Shanghai),40HC,455,210,10,40,715,2026-07-12,2026-07-27,19
RTE-00739,ONE,VNDNG (Da Nang),CNSHA (Shanghai),20DC,358,140,10,40,548,2026-07-10,2026-07-25,14
RTE-00740,CMA CGM,VNDNG (Da Nang),DEHAM (Hamburg),40HC,2834,210,10,40,3094,2026-07-12,2026-07-27,12
RTE-00741,CMA CGM,VNSGN (Cat Lai),CNSHA (Shanghai),40HC,423,210,10,40,683,2026-07-23,2026-08-07,20
RTE-00742,Maersk,VNSGN (Cat Lai),DEHAM (Hamburg),40HC,3033,210,10,40,3293,2026-07-01,2026-07-16,17
RTE-00743,Evergreen,VNDNG (Da Nang),USLGB (Long Beach),40HC,3083,210,10,40,3343,2026-07-28,2026-08-12,29
RTE-00744,COSCO,VNSGN (Cat Lai),USLAX (Los Angeles),20DC,2288,140,10,40,2478,2026-07-08,2026-07-23,20
RTE-00745,MSC,VNDNG (Da Nang),CNSHA (Shanghai),40HC,668,210,10,40,928,2026-07-21,2026-08-05,35
RTE-00746,Maersk,VNHPH (Hai Phong),CNSHA (Shanghai),40HC,782,210,10,40,1042,2026-07-30,2026-08-14,20
RTE-00747,MSC,VNHPH (Hai Phong),DEHAM (Hamburg),40HC,2788,210,10,40,3048,2026-07-31,2026-08-15,26
RTE-00748,MSC,VNDNG (Da Nang),CNSHA (Shanghai),20DC,340,140,10,40,530,2026-07-27,2026-08-11,13
RTE-00749,CMA CGM,VNSGN (Cat Lai),USLAX (Los Angeles),40HC,2658,210,10,40,2918,2026-07-07,2026-07-22,20
RTE-00750,Hapag-Lloyd,VNDNG (Da Nang),DEHAM (Hamburg),40HC,2020,210,10,40,2280,2026-07-09,2026-07-24,15
RTE-00751,Maersk,VNDNG (Da Nang),CNSHA (Shanghai),20DC,346,140,10,40,536,2026-07-08,2026-07-23,16
RTE-00752,Maersk,VNSGN (Cat Lai),USLGB (Long Beach),40HC,3579,210,10,40,3839,2026-07-05,2026-07-20,30
RTE-00753,Evergreen,VNSGN (Cat Lai),USLAX (Los Angeles),40HC,3001,210,10,40,3261,2026-07-01,2026-07-16,18
RTE-00754,COSCO,VNSGN (Cat Lai),USLAX (Los Angeles),20DC,2034,140,10,40,2224,2026-07-06,2026-07-21,21
RTE-00755,CMA CGM,VNSGN (Cat Lai),USLGB (Long Beach),20DC,2471,140,10,40,2661,2026-07-28,2026-08-12,32
RTE-00756,Hapag-Lloyd,VNHPH (Hai Phong),USLAX (Los Angeles),20DC,2284,140,10,40,2474,2026-07-01,2026-07-16,21
RTE-00757,CMA CGM,VNHPH (Hai Phong),USLAX (Los Angeles),20DC,2473,140,10,40,2663,2026-07-10,2026-07-25,28
RTE-00758,MSC,VNSGN (Cat Lai),DEHAM (Hamburg),20DC,1687,140,10,40,1877,2026-07-19,2026-08-03,27
RTE-00759,CMA CGM,VNDNG (Da Nang),DEHAM (Hamburg),20DC,1846,140,10,40,2036,2026-07-30,2026-08-14,28
RTE-00760,Hapag-Lloyd,VNDNG (Da Nang),NLRTM (Rotterdam),20DC,1512,140,10,40,1702,2026-07-18,2026-08-02,25
RTE-00761,ONE,VNDNG (Da Nang),DEHAM (Hamburg),40HC,2432,210,10,40,2692,2026-07-06,2026-07-21,31
RTE-00762,ONE,VNSGN (Cat Lai),DEHAM (Hamburg),40HC,2746,210,10,40,3006,2026-07-10,2026-07-25,18
RTE-00763,Maersk,VNDNG (Da Nang),USLAX (Los Angeles),20DC,2015,140,10,40,2205,2026-07-05,2026-07-20,24
RTE-00764,ONE,VNHPH (Hai Phong),USLAX (Los Angeles),40HC,3996,210,10,40,4256,2026-07-12,2026-07-27,18
RTE-00765,Maersk,VNHPH (Hai Phong),NLRTM (Rotterdam),20DC,1965,140,10,40,2155,2026-07-30,2026-08-14,32
RTE-00766,Maersk,VNDNG (Da Nang),DEHAM (Hamburg),40HC,2089,210,10,40,2349,2026-07-01,2026-07-16,13
RTE-00767,ONE,VNDNG (Da Nang),CNSHA (Shanghai),40HC,775,210,10,40,1035,2026-07-31,2026-08-15,27
RTE-00768,CMA CGM,VNDNG (Da Nang),NLRTM (Rotterdam),40HC,2737,210,10,40,2997,2026-07-09,2026-07-24,19
RTE-00769,ONE,VNHPH (Hai Phong),USLAX (Los Angeles),40HC,2868,210,10,40,3128,2026-07-29,2026-08-13,22
RTE-00770,Hapag-Lloyd,VNSGN (Cat Lai),USLGB (Long Beach),40HC,4000,210,10,40,4260,2026-07-14,2026-07-29,35
RTE-00771,ONE,VNDNG (Da Nang),USLAX (Los Angeles),40HC,3967,210,10,40,4227,2026-07-17,2026-08-01,18
RTE-00772,ONE,VNSGN (Cat Lai),USLGB (Long Beach),20DC,2363,140,10,40,2553,2026-07-14,2026-07-29,26
RTE-00773,MSC,VNHPH (Hai Phong),USLGB (Long Beach),20DC,2012,140,10,40,2202,2026-07-30,2026-08-14,26
RTE-00774,MSC,VNDNG (Da Nang),USLGB (Long Beach),20DC,2336,140,10,40,2526,2026-07-18,2026-08-02,13
RTE-00775,ONE,VNSGN (Cat Lai),CNSHA (Shanghai),20DC,415,140,10,40,605,2026-07-21,2026-08-05,19
RTE-00776,Maersk,VNSGN (Cat Lai),CNSHA (Shanghai),40HC,628,210,10,40,888,2026-07-29,2026-08-13,19
RTE-00777,COSCO,VNDNG (Da Nang),CNSHA (Shanghai),20DC,300,140,10,40,490,2026-07-25,2026-08-09,16
RTE-00778,MSC,VNDNG (Da Nang),NLRTM (Rotterdam),20DC,1696,140,10,40,1886,2026-07-13,2026-07-28,16
RTE-00779,Maersk,VNDNG (Da Nang),USLAX (Los Angeles),20DC,2007,140,10,40,2197,2026-07-07,2026-07-22,28
RTE-00780,Hapag-Lloyd,VNDNG (Da Nang),USLAX (Los Angeles),20DC,2070,140,10,40,2260,2026-07-26,2026-08-10,22
RTE-00781,Evergreen,VNHPH (Hai Phong),USLAX (Los Angeles),40HC,2766,210,10,40,3026,2026-07-08,2026-07-23,29
RTE-00782,ONE,VNHPH (Hai Phong),CNSHA (Shanghai),40HC,575,210,10,40,835,2026-07-28,2026-08-12,31
RTE-00783,ONE,VNDNG (Da Nang),NLRTM (Rotterdam),20DC,1926,140,10,40,2116,2026-07-18,2026-08-02,24
RTE-00784,COSCO,VNHPH (Hai Phong),USLGB (Long Beach),20DC,2150,140,10,40,2340,2026-07-05,2026-07-20,12
RTE-00785,Evergreen,VNDNG (Da Nang),CNSHA (Shanghai),40HC,526,210,10,40,786,2026-07-10,2026-07-25,31
RTE-00786,Evergreen,VNDNG (Da Nang),USLAX (Los Angeles),40HC,3341,210,10,40,3601,2026-07-10,2026-07-25,26
RTE-00787,Maersk,VNSGN (Cat Lai),NLRTM (Rotterdam),20DC,2097,140,10,40,2287,2026-07-27,2026-08-11,19
RTE-00788,ONE,VNHPH (Hai Phong),USLGB (Long Beach),20DC,2095,140,10,40,2285,2026-07-24,2026-08-08,26
RTE-00789,Hapag-Lloyd,VNSGN (Cat Lai),DEHAM (Hamburg),20DC,1723,140,10,40,1913,2026-07-26,2026-08-10,23
RTE-00790,COSCO,VNHPH (Hai Phong),DEHAM (Hamburg),40HC,2721,210,10,40,2981,2026-07-08,2026-07-23,27
RTE-00791,Evergreen,VNSGN (Cat Lai),CNSHA (Shanghai),20DC,309,140,10,40,499,2026-07-09,2026-07-24,15
RTE-00792,CMA CGM,VNHPH (Hai Phong),USLAX (Los Angeles),20DC,1925,140,10,40,2115,2026-07-21,2026-08-05,34
RTE-00793,CMA CGM,VNSGN (Cat Lai),USLGB (Long Beach),20DC,2757,140,10,40,2947,2026-07-25,2026-08-09,13
RTE-00794,COSCO,VNDNG (Da Nang),USLGB (Long Beach),20DC,2684,140,10,40,2874,2026-07-06,2026-07-21,29
RTE-00795,Maersk,VNDNG (Da Nang),USLGB (Long Beach),20DC,2673,140,10,40,2863,2026-07-27,2026-08-11,18
RTE-00796,COSCO,VNDNG (Da Nang),CNSHA (Shanghai),40HC,775,210,10,40,1035,2026-07-11,2026-07-26,25
RTE-00797,MSC,VNDNG (Da Nang),CNSHA (Shanghai),40HC,734,210,10,40,994,2026-07-27,2026-08-11,35
RTE-00798,COSCO,VNHPH (Hai Phong),DEHAM (Hamburg),20DC,1807,140,10,40,1997,2026-07-20,2026-08-04,32
